iter	RMSE
0	1.836463634
1	1.78404805
2	1.741267691
3	1.687483158
4	1.654111474
5	1.606417056
6	1.561313531
7	1.517134484
8	1.486081043
9	1.44958881
10	1.420972819
11	1.390628776
12	1.36428043
13	1.338107728
14	1.31669967
15	1.296392636
16	1.273915239
17	1.254074429
18	1.236848129
19	1.219535519
20	1.201558733
21	1.186364724
22	1.171060906
23	1.158024473
24	1.147126695
25	1.138010343
26	1.128822022
27	1.119955584
28	1.111385303
29	1.105349199
30	1.09798151
31	1.08999744
32	1.083210035
33	1.077021125
34	1.070983745
35	1.064673054
36	1.060652724
37	1.053397365
38	1.0489464
39	1.044463213
40	1.041354761
41	1.037425859
42	1.032335738
43	1.028575573
44	1.024466406
45	1.020246861
46	1.017472828
47	1.01390013
48	1.01088818
49	1.008599057
50	1.005470495
51	1.003214732
52	0.9994590905
53	0.9968376797
54	0.9942751342
55	0.992716509
56	0.9910944532
57	0.9895281116
58	0.9856797414
59	0.9828883445
60	0.9822048374
61	0.9803156299
62	0.9784158387
63	0.9731867001
64	0.9705011767
65	0.9692011551
66	0.9686995618
67	0.9670505188
68	0.9656234294
69	0.9641065481
70	0.9619444028
71	0.9604354232
72	0.9571760776
73	0.9548610526
74	0.9541320846
75	0.9493794014
76	0.9479477821
77	0.9465759699
78	0.9451860147
79	0.943213635
80	0.9416434758
81	0.9407024356
82	0.9381827753
83	0.936105075
84	0.9353491446
85	0.9345416488
86	0.932937385
87	0.9321547603
88	0.931082002
89	0.9302105868
90	0.9259227714
91	0.923442247
92	0.9208143486
93	0.9200548045
94	0.9160257657
95	0.914986365
96	0.9147306372
97	0.9118070938
98	0.9102826043
99	0.9081867951
100	0.9036672641
101	0.9029759749
102	0.9016577278
103	0.8982615018
104	0.8969270036
105	0.8960457296
106	0.8920710722
107	0.8912186409
108	0.8898905605
109	0.8889118465
110	0.886961038
111	0.8862451547
112	0.8856697902
113	0.8835753185
114	0.8818102752
115	0.8810167704
116	0.879222627
117	0.8775062841
118	0.8753841513
119	0.8750683716
120	0.8741114914
121	0.8715961583
122	0.8708935012
123	0.8701243326
124	0.8678430937
125	0.8665499326
126	0.8645727101
127	0.8625006786
128	0.8609069077
129	0.8599723512
130	0.8590765975
131	0.8572860472
132	0.8570617702
133	0.8564046877
134	0.8557204519
135	0.8549694863
136	0.8525495791
137	0.8499169682
138	0.8496067868
139	0.8491089254
140	0.8473098313
141	0.8465407797
142	0.8459861214
143	0.8453649031
144	0.8449217955
145	0.8444991232
146	0.8440935133
147	0.8434907224
148	0.841144586
149	0.8401862039
150	0.8394945659
151	0.8381905575
152	0.837061359
153	0.8346926552
154	0.8339760257
155	0.8331737664
156	0.8320585767
157	0.8316379698
158	0.8300716448
159	0.8295980161
160	0.8290466304
161	0.8287984007
162	0.8282694625
163	0.8277386309
164	0.825761607
165	0.8238668555
166	0.8222487636
167	0.8192076148
168	0.8185797326
169	0.8175139019
170	0.8173026965
171	0.8144625359
172	0.8122015095
173	0.8116927021
174	0.8111674482
175	0.8105073267
176	0.8099788194
177	0.8095281628
178	0.8067235279
179	0.8063152494
180	0.80594982
181	0.8056872376
182	0.8033731084
183	0.8029098095
184	0.8025700938
185	0.8009132027
186	0.8003844648
187	0.7998340991
188	0.7993896503
189	0.796638589
190	0.7949664665
191	0.7946530842
192	0.7928902373
193	0.7924619966
194	0.7906237255
195	0.7892429511
196	0.7888322311
197	0.7879430277
