iter	Passed	Remaining
0	30	29282
1	53	25865
2	86	27800
3	87	21249
4	90	17519
5	135	21825
6	161	22267
7	177	21403
8	181	19404
9	185	17816
10	189	16504
11	217	17417
12	220	16256
13	223	15277
14	255	16258
15	257	15344
16	260	14640
17	262	13900
18	264	13246
1919	313	14912020	317	14352121	319	13782222	323	13312323	365	144124	352	13328
25	372	13533
26	374	13106
27	377	12714
28	410	13345
29	413	12973
30	445	13507
31	454	13322
32	456	12986
33	458	12643
34	460	12328
35	487	12667
36	491	12413
37	507	12462
38	509	12175
39	511	11897
40	528	11993
41	531	11757
42	535	11562
43	559	11784
44	561	11554
45	564	11343
46	566	11141
47	569	10952
48	571	10754
49	573	10568
50	574	10371
51	586	10364
52	592	10253
53	603	10244
54	608	56	67755	628	10266
56	634	58	696	10767
59	722	10967
60	727	10853
61	731	10720
62	740	10672
63	754	10690
64	765	10672
65	771	10576
66	773	10441
67	775	102967	724	9616
68	729	9535
69	732	9424
70	736	9338
71	737	9208
72	742	9127
73	751	9112
74	764	9137
75	771	9089
76	779	9048
77	804	9207
78	807	9112
79	810	9024
80	814	8946
81	815	8846
82	838	8971
83	842	8897
84	846	8822
85	850	8754
86	853	8669
87	873	8766
88	877	8699
89	890	8712
90	910	8808
91	912	8721
92	914	8634
93	916	8551
94	918	8469
95	921	8395
96	949	8551
97	953	8491
98	960	8460
99	962	8383
100	968	8344
101	975	8307
102	979	8257
103	984	8210
104	987	8147
105	991	8089
106	994	8027
107	1010	8075
108	1012	8008
109	1016	7958
110	1019	7900
111	1033	7924
112	1052	7993
113	1055	7936
114	1058	7880
115	1063	7842
116	1069	7805
117	1072	7751
118	1074	7692
119	1080	7662
120	1085	7625
121	1113	7746
122	1117	7703
123	1119	7644
124128	1113	7271
129	1118	7236
130	1120	71127	1188	7829
128	1191	7778
129	1193	7720
130	1195	7664
131	1197	7610
132	1201	7569
133	1203	7515
134	1229	7614
135	1235	7583
136	1259	7664
137	1280	7727
138	1317	7888
139	1322	7852
140	1328	7817
141	1334	7788
142	1338	7748
143	1342	7710
144	1448	8252
145	1452	8208
146	1454	8153
147	1456	8098
148	1459	8050
149	1463	8008
150	1465	7958
151	1490	8030
152	1495	7996
153	1516	8045
154	1522	8015
155	1527	7978
156	1531	7941
157	1535	7902
158	1538	7858
159	1544	7828
160	1548	7790
161	1554	7765
162	1560	7733
163	1577	7762
164	1579	7715
165	1583	7680
166	1592	7665
167	1595	7624
168	1600	7595
169	1605	7566
170	1610	7532
171	1621	7532
172	1625	7497
173	1629	7462
174	1642	7471
175	1656	7481
176	1657	7436
177	1659	7394
178	1665	7368
179	1666	7325
180	1687	7365
181	1689	7324
182	1699	7319
183	1722	7367
184	1727	7337
185	1732	7312
186	1735	7276
187	1737	7236
188	1739	7196
189	1746	7180
190	1751	7154
191	1754	7120
192	1758	7089
193	1788	7162
194	1791	7127
195	1794	7097
196	1801	7076
197	1806	7053
198	1811	7029
199	1817	7005
200	1820	6972
201	1822	6939
202	1824	6903
203	1831	6884
204	1836	6863
205	1857	6899
206	1862	6874
207	1864	6838
208	1866	6803
209	1869	6773
210	1878	6766
211	1880	6732
212	1914	6814
213	1918	6787
214	1920	6753
215	1976	6909
216	1981	6884
217	1987	6864
218	1996	6853
219	2003	6838
220	2020	6856
221	2026	6838
222	2030	6812
223	2032	6778
224	2039	6762
225	2048	6752
226	2065	6769
227	2072	6753
228	2076	6729
229	2081	6704
230	2084	6678
231	2088	6652
232	2091	6624
233	2095	6600
234	2101	6580
235	2108	6567
236	2121	6569
237	2128	6554
238	2134	6538
239	2137	6511
240	2158	6539
241	2163	6516
242	2167	6493
243	2169	6463
244	2195	6504
245	2199	6480
246	2200	6450
247	2203	6423
248	2209	6405
249	2229	6430
250	2233	6407
251	2237	6384
252	2239	6355
253	2243	6331
254	2252	6323
255	2253	6294
256	2256	6268
257	2267	6265
258	2270	6242
259	2273	6217
260	2276	6192
261	2279	6169
262	2281	6141
263	2282	6113
264	2284	6086
265	2285	6058
266	2288	6033
267	2290	6009
268	2293	5985
269	2297	5964
270	2299	5938
271	2300	5272	2383	6094
273	2388	6076
274	2393	6056
275	2399	6041
276	2401	6016
277	277	2357	5278	278	2361	5279	2427	5991
280	2430	5969
281	2438	5959
282	2446	5947
283	2449	5924
284	2479	5968
285	2484	5951
286	286	2441	5287	2497	5923
288	288	2460	5289	289	2463	5290	290	2466	5291	2524	5869
292	292	2479	5738
293	2481	5294	2622	6009
295	2627	5992
296	2629	5967
297	2648	5981
298	2652	5961
299	2671	5975
300	2674	5953
301	2676	5929
302	2683	5916
303	2702	5929
304	2704	5905
305	2711	5892
306	2741	5929
307	2747	5914
308	2751	5894
309	2759	5884
310	2762	5863
311	2767	5846
312	2788	5862
313	2796	5851
314	319	2764	5624
320	2766	5601
321	2767	5317	2816	5783
318	2820	5765
319	2825	5747
320	2830	5731
321	2855	5754
322	2858	5735
323	2863	5718
324	2898	5762
325	2914	5767
326	2919	5749
327	332	2878	5515
333	2895	5521
334	2897	5330	2959	5722
331	2968	5712
332	2971	5693
333	2977	5678
334	339	2927	5335	340	2935	5423
341	2947	5421
342	2955	5410
343	2959	5394
344	2965	5380
345	2967	5359
346	2985	5368
347	2988	5350
348	3004	5354
349	3007	5345	3065	5538
346	3089	5556
347	3097	5545
348	3119	5558
349	3124	5544
350	355	3087	5333
356	3090	5352	357	3126	5353
358	3130	5336
359	3135	5322
360	3138	5303
361	3142	5285
362	3143	5265
363	3145	5245
364	3147	5225
365	3149	5205
366	3150	5185
367	3152	5165
368	3154	5146
369	3155	5126
370	3157	5106
366	3149	5183
367	3164	5185
368	3166	5166
369	3208	5211
370	3251	5259
371	3253	5239
372	3270	5243
373	3291	5254
374	3301	5247
375	3303	5227
376	3305	5207
377	3308	5190
378	3311	5172
379	3313	5152
380	3323	5146
381	3323	5125
382	3325	5105
383	3343	5111
384	3374	5136
385	3378	5120
386	3382	5104
387	3385	5087
388	3388	5070
389	3391	5052
390	3393	5033
391	3397	5018
392	3405	5008
393	3411	4996
394	3425	4995
395	3430	4980
396	3431	4961
397	3432	4942
398	3437	4927
399	3461	4941
400	3463	4923
401	3466	4906
402	3473	4896
403	3477	4880
404	3482	4866
405	3486	4852
406	3488	4833
407	3490	4815
408	3542	4868
409	3545	4851
410	3547	4833
411	3562	4832
412	3564	4815
413	3580	4817
414	3585	4803
415	3589	4788
416	3593	4774
417	3606	4771
418	3610	4757
419	3612	4739
420	3627	4738
421	3636	4731
422	3641	4717
423	3644	4701
424	3663	4706
425	3667	4691
426	3679	4687
427	3696	4689
428	3698	4672
429	3705	4661
430	3707	4645
431	3716	4637
432	3733	4638
433	3735	4621
434	3736	4604
435	3745	4596
436	3778	4616
437	3779	4599
438	3799	4604
439	3855	4653
440	3881	4665
441	3883	4647
442	3886	4631
443	3889	4616
444	3890	4599
445	3892	4582
446	3894	4565
447	3898	4551
448	3900	4535
449	3902	4518
450	3940	4543
451	3943	4527
452	3946	4512
453	3948	4496
454	3949	4479
455	3951	4462
456	3953	4446
457	4004	4485
458	4022	4486
459	4046	4495
460	4049	4480
461	4053	4466
462	4055	4449
463	4065	4442
464	4067	4426
465	4069	4410
466	4072	4395
467	4075	4380
468	4079	4366
469	4084	4353
470	4087	4339
471	4092	4326
472	4099	4316
473	4102	4301
474	4110	4291
475	4115	4279
476	4121	4268
477	4134	4263
478	4136	4249
479	4156	4251
480	4160	4238
481	4164	4225
482	4168	4211
483	4173	4199
484	4203	4212
485	4226	4217
486	4231	4205
487	4233	4189
488	4261	4200
489	4268	4190
490	4272	4176
491	4277	4163
492	4286	4155
493	4289	4141
494	4291	4126
495	4310	4127
496	4322	4122
497	4337	4120
498	4366	4130
499	4369	4116
500	4371	4100
501	4375	4088
502	4380	4075
503	4395	4072
504	4412	4071
505	4416	4058
506	4422	4047
507	4428	4036
508	4433	4024
509	4452	4025
510	4454	4010
511	4456	3995
512	4463	3984
513	4469	3973
514	4497	3982
515	4535	3999
516	4537	3984
517	4539	3970
518	4543	3957
519	4562	3957
520	4577	3953
521	4581	3940
522	4583	3926
523	4587	3913
524	4609	3915
525	4613	3902
526	4614	3888
527	4616	3873
528	4621	3861
529	4625	3848
530	4630	3836
531	4634	3824
532	4639	3812
533	4645	3801
534	4651	3790
535	4657	3779
536	4674	3778
537	4677	3764
538	4680	3751
539	4683	3737
540	4686	3724
541	4695	3716
542	4698	3703
543	4700	3689
544	4704	3677
545	4710	3666
546	4752	3683
547	4753	3669
548	4756	3655
549	4767	3649
550	4770	3636
551	4774	3623
552	4775	3610
553	4781	3598
554	4782	3585
555	4785	3572
556	4793	3563
557	4806	3557
558	4814	3548
559	4868	3572
560	4870	3559
561	4882	3553
562	4934	3576
563	4950	3572
564	4953	3559
565	4996	3575
566	4999	3562
567	5014	3557
568	5021	3547
569	5033	3541
570	5064	3547
571	5074	3540
572	5076	3526
573	5078	3512
574	5080	3498
575	5088	3489
576	5093	3478
577	5173	3517
578	5183	3509
579	5186	3496
580	5198	3489
581	5200	3475
582	5225	3477
583	5229	3465
584	5232	3452
585	5270	3462
586	5272	3449
587	5276	3436
588	5299	3436
589	5304	3425
590	5308	3412
591	5309	3399
592	5337	3402
593	5341	3389
594	5346	3378
595	5349	3366
596	5377	3368
597	5381	3356
598	5384	3344
599	5387	3331
600	5392	3320
601	5396	3308
602	5400	3295
603	5403	3283
604	5408	3272
605	5413	3260
606	5417	3248
607	5432	3243
608	5437	3232
609	5444	3222
610	5446	3208
611	5451	3197
612	5456	3186
613	5459	3174
614	5476	3170
615	5479	3157
616	5481	3144
617	5485	3133
618	5499	3127
619	5509	3119
620	5511	3106
621	5540	3108
622	5548	3099
623	5550	3086
624	5573	3085
625	5576	3073
626	5577	3060
627	5580	3047
628	5582	3035
629	5584	3022
